foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
308,6303.0-1855.0,131.26890084324137,282.5686380773128
308,4467.0-2076.0,136.41996275479397,287.15129776495587
308,1179.0-1429.0,114.58363869741507,256.6632093579344
308,9867.0-2159.0,116.83880953299067,268.3157790363823
308,5742.0-2636.0,119.635404715134,273.7613163687952
308,1977.0-829.0,119.59520514252333,279.85496529076283
310,3300.0-3033.0,108.91248889277301,224.5456087558473
310,8222.0-3140.0,112.46818594793118,229.8474695860299
310,5093.0-3305.0,134.76285558464596,272.4902219075775
310,6303.0-1855.0,130.44372821542018,279.7495596233248
310,4467.0-2076.0,135.6290275701417,284.3224225946587
310,1179.0-1429.0,113.93397433914885,253.79858906598588
310,9867.0-2159.0,116.17926687804237,265.45341695555663
310,5742.0-2636.0,118.98934285425264,270.8958814511327
310,1977.0-829.0,118.93063704607113,276.99376581490964
312,3300.0-3033.0,108.289841082976,221.67499507574337
312,8222.0-3140.0,111.86508315962716,226.97268607727923
312,5093.0-3305.0,133.9998592786221,269.6536835538021
312,6303.0-1855.0,129.618555587599,276.93048116933676
312,4467.0-2076.0,134.8380923854894,281.4935474243615
312,1179.0-1429.0,113.28430998088263,250.93396877403734
312,9867.0-2159.0,115.51972422309407,262.59105487473096
312,5742.0-2636.0,118.34328099337128,268.03044653347024
312,1977.0-829.0,118.26606894961893,274.13256633905644
314,3300.0-3033.0,107.66719327317897,218.80438139563944
314,8222.0-3140.0,111.26198037132315,224.09790256852858
314,5093.0-3305.0,133.23686297259823,266.81714520002674
314,6303.0-1855.0,128.7933829597778,274.11140271534873
314,4467.0-2076.0,134.04715720083712,278.6646722540643
314,1179.0-1429.0,112.6346456226164,248.0693484820888
314,9867.0-2159.0,114.86018156814578,259.7286927939053
314,5742.0-2636.0,117.69721913248992,265.16501161580777
314,1977.0-829.0,117.60150085316673,271.27136686320324
316,3300.0-3033.0,107.04454546338195,215.9337677155355
316,8222.0-3140.0,110.65887758301913,221.22311905977793
316,5093.0-3305.0,132.47386666657437,263.98060684625136
316,6303.0-1855.0,127.96821033195661,271.2923242613607
316,4467.0-2076.0,133.25622201618484,275.83579708376715
316,1179.0-1429.0,111.98498126435018,245.20472819014026
316,9867.0-2159.0,114.20063891319748,256.8663307130796
316,5742.0-2636.0,117.05115727160856,262.2995766981453
316,1977.0-829.0,116.93693275671453,268.41016738735004
318,3300.0-3033.0,106.42189765358492,213.06315403543158
318,8222.0-3140.0,110.05577479471512,218.34833555102728
318,5093.0-3305.0,131.7108703605505,261.144068492476
318,6303.0-1855.0,127.14303770413542,268.4732458073727
318,4467.0-2076.0,132.46528683153255,273.00692191346997
318,1179.0-1429.0,111.33531690608396,242.34010789819172
318,9867.0-2159.0,113.54109625824918,254.00396863225396
318,5742.0-2636.0,116.4050954107272,259.43414178048283
318,1977.0-829.0,116.27236466026233,265.54896791149685
320,3300.0-3033.0,105.79924984378789,210.19254035532765
320,8222.0-3140.0,109.4526720064111,215.47355204227662
320,5093.0-3305.0,130.94787405452664,258.3075301387006
320,6303.0-1855.0,126.31786507631423,265.65416735338465
320,4467.0-2076.0,131.67435164688027,270.1780467431728
320,1179.0-1429.0,110.68565254781774,239.47548760624318
320,9867.0-2159.0,112.88155360330089,251.1416065514283
320,5742.0-2636.0,115.75903354984584,256.56870686282036
320,1977.0-829.0,115.60779656381013,262.68776843564365
322,3300.0-3033.0,105.17660203399087,207.32192667522372
322,8222.0-3140.0,108.84956921810709,212.59876853352597
322,5093.0-3305.0,130.18487774850277,255.47099178492522
322,6303.0-1855.0,125.49269244849305,262.8350888993966
322,4467.0-2076.0,130.88341646222798,267.3491715728756
322,1179.0-1429.0,110.03598818955152,236.61086731429464
322,9867.0-2159.0,112.2220109483526,248.27924447060266
322,5742.0-2636.0,115.11297168896448,253.7032719451579
322,1977.0-829.0,114.94322846735793,259.82656895979045
324,3300.0-3033.0,104.55395422419386,204.4513129951198
324,8222.0-3140.0,108.24646642980308,209.72398502477532
324,5093.0-3305.0,129.4218814424789,252.63445343114984
324,6303.0-1855.0,124.66751982067186,260.0160104454086
324,4467.0-2076.0,130.0924812775757,264.5202964025784
324,1179.0-1429.0,109.3863238312853,233.7462470223461
324,9867.0-2159.0,111.56246829340432,245.41688238977702
324,5742.0-2636.0,114.46690982808312,250.83783702749542
324,1977.0-829.0,114.27866037090573,256.96536948393725
