foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
114,5934.0-1830.0,170.94978198817847,377.6323537827828
114,7278.0-3462.0,124.77997857607949,351.79277996266205
114,3231.0-4357.0,213.80265955541483,391.9833361416521
114,4724.0-4284.0,156.2041175596709,364.54274303020617
114,2156.0-3675.0,174.510678753667,414.33548604042176
114,6647.0-1667.0,152.2612580713245,383.57351422524033
114,3656.0-4008.0,187.3314551054144,430.32262326822126
114,5181.0-1973.0,113.04213071209244,415.75875151208606
114,7827.0-3507.0,170.632907348779,453.82382879785683
114,310.0-2884.0,124.91659640157987,430.41006236975875
114,6228.0-2468.0,166.0270763909141,476.1068049452224
114,8405.0-3560.0,181.2578017067259,489.0790661683869
114,4439.0-155.0,193.16503500656765,504.13928205166764
114,8503.0-4757.0,149.47361721937028,480.12235036034053
114,6830.0-381.0,166.35889267756312,493.25021855909785
114,4101.0-210.0,173.0904060085819,510.64814399131
116,7616.0-4572.0,72.4196048454665,266.4553197585608
116,2018.0-3491.0,121.17750821908588,286.7714797107054
116,9522.0-4450.0,140.5614473951487,300.2091477364164
116,9936.0-4094.0,72.98056877919983,349.86385800110975
116,5451.0-2256.0,126.86852296407237,342.98163124230746
116,6862.0-1202.0,89.9452757193802,314.8321344208488
116,8906.0-4866.0,181.02677537320764,348.0748341020582
116,7879.0-4282.0,72.06401082588606,343.42214348927104
116,5934.0-1830.0,169.05581857792467,368.6506044807322
116,7278.0-3462.0,122.35663542840747,342.9391747132229
116,3231.0-4357.0,214.06518454470907,382.80782533547557
116,4724.0-4284.0,155.2418707168854,355.41405205406863
116,2156.0-3675.0,172.33476059433477,405.41784632533154
116,6647.0-1667.0,150.9149442051511,374.49351659869797
116,3656.0-4008.0,185.7427355516692,421.2818883366013
116,5181.0-1973.0,108.6822829679284,407.68096434158116
116,7827.0-3507.0,167.36717559345132,445.24513926935015
116,310.0-2884.0,120.7965029074883,422.2073952715394
116,6228.0-2468.0,161.62279923324792,468.0531560428474
116,8405.0-3560.0,177.62527597976165,480.64913883968416
116,4439.0-155.0,190.2648463281116,495.43021645577153
116,8503.0-4757.0,145.1874074340074,472.00524967104724
116,6830.0-381.0,164.0814670639946,484.3579606625382
116,4101.0-210.0,171.76245184680945,501.5654430896785
118,7616.0-4572.0,68.57182403221682,258.1214430653613
118,2018.0-3491.0,118.39006485780047,278.02567629238575
118,9522.0-4450.0,138.2416210303677,291.32785708913246
118,9936.0-4094.0,67.97671682551606,342.16837987756986
118,5451.0-2256.0,123.60995463929422,334.40021816537086
118,6862.0-1202.0,86.6354306229978,306.2703680515638
118,8906.0-4866.0,179.82877036167795,338.9740812806365
