fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
272,5578.0-4829.0,130.91699213619484,355.46342441835884
272,1472.0-148.0,107.75723717896466,251.77974143871458
272,5939.0-570.0,110.35401348553951,232.1851324208935
272,9508.0-1629.0,92.73969755232463,194.85680431826586
272,1936.0-2289.0,86.22986752519495,153.52866883340477
272,9204.0-4395.0,79.64303686341738,149.6799205361224
272,2526.0-1740.0,78.5271104437542,143.8571125434976
272,1826.0-4509.0,80.74541323971951,136.7935804248254
272,7065.0-3633.0,76.87616085149952,125.72076091386658
272,9001.0-3896.0,71.2458650730561,121.51346701896809
272,5992.0-1456.0,70.46644288176563,115.57950015351805
272,1514.0-1676.0,68.27557736527041,110.11869199539699
272,6576.0-367.0,69.2070042774623,103.5475338349934
274,7081.0-3984.0,156.79417930699051,355.632176964543
274,5578.0-4829.0,131.78820826660484,358.26861525849046
274,1472.0-148.0,108.67863667319307,254.5688517211309
274,5939.0-570.0,111.39184066759229,234.93304579937492
274,9508.0-1629.0,93.67694100154408,197.64063044651812
274,1936.0-2289.0,87.30333128120259,156.2628577003236
274,9204.0-4395.0,80.5739759892402,152.46586122814315
274,2526.0-1740.0,79.47361544653333,146.63780337046109
274,1826.0-4509.0,81.82460455819474,139.52551367686002
274,7065.0-3633.0,77.95217991369506,128.45394516913308
274,9001.0-3896.0,72.15920294827819,124.30522759629731
274,5992.0-1456.0,71.41710665759807,118.35877192518141
274,1514.0-1676.0,69.19713863525195,112.90774882900845
274,6576.0-367.0,70.27627965366845,106.28336339205356
276,7081.0-3984.0,157.88323755245517,358.36019187165596
276,5578.0-4829.0,132.65942439701485,361.0738060986221
276,1472.0-148.0,109.60003616742148,257.35796200354724
276,5939.0-570.0,112.42966784964507,237.68095917785635
276,9508.0-1629.0,94.61418445076353,200.42445657477037
276,1936.0-2289.0,88.37679503721023,158.99704656724242
276,9204.0-4395.0,81.50491511506301,155.2518019201639
276,2526.0-1740.0,80.42012044931246,149.41849419742456
276,1826.0-4509.0,82.90379587666996,142.25744692889464
276,7065.0-3633.0,79.0281989758906,131.1871294243996
276,9001.0-3896.0,73.07254082350029,127.09698817362654
